timestamp,open,low,high,close,volume
2017-01-11 00:00:00,915.91,777.96,1095.78,877.83,0.0
2017-01-23 17:00:45,877.86,752.0,914.2,908.42,0.0
2017-01-28 20:00:05,908.43,879.8,921.9,911.57,0.0
2018-01-02 09:28:43,14466.19,12030.0,16419.42,13280.01,0.0
2018-01-04 03:43:45,13293.98,13280.0,15375.0,15096.28,0.0
2018-01-05 23:02:48,15096.31,14171.0,16625.95,16620.0,0.0
2018-01-08 17:51:37,16620.01,13885.0,17069.99,14475.67,0.0
2019-01-02 00:57:00,3818.14,3695.39,3828.9,3716.14,0.0
2019-01-02 16:19:28,3716.4,3713.14,3853.15,3819.14,0.0
2019-01-03 09:05:31,3819.15,3804.89,3913.14,3846.14,0.0
2019-01-04 03:15:35,3846.15,3744.64,3857.64,3777.89,0.0
2020-01-02 20:11:01,7135.29,6872.91,7207.29,6944.67,0.0
2020-01-03 16:32:20,6943.29,6851.79,7369.79,7256.29,0.0
2020-01-06 07:36:51,7256.79,7239.27,7578.88,7498.52,0.0
2020-01-07 01:41:21,7498.87,7482.49,7804.76,7788.87,0.0